                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.1674,                 1.0729,                0.32686,                0.58064,                 1.0061,                0.99479,                      1,                  0.995,                0.62947,                0.89526,                0.88235,                0.89382,                0.53744,                  1.347,                 2.0013,                0.14611,                0.58256,                 1.0278,               0.009208,               0.009208,               0.009208
                     42,                   1.15,                 1.0949,                0.29064,                0.56076,                0.99604,                 0.9976,                      1,                  0.995,                0.65861,                0.90957,                0.91176,                0.91139,                0.54628,                  1.303,                 1.9351,                0.14541,                0.54696,                 1.0162,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1144,                 1.0097,                0.30391,                0.56971,                0.97922,                0.99775,                      1,                  0.995,                0.62142,                0.93966,                0.94118,                0.94387,                0.54253,                 1.4604,                 1.8661,                0.13157,                0.55286,                 1.0609,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1612,                 1.0542,                0.29075,                0.55621,                 1.0109,                0.99775,                      1,                  0.995,                0.62142,                0.93966,                0.94118,                0.94387,                0.54253,                 1.4604,                 1.8661,                0.13157,                0.55286,                 1.0609,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1161,                0.92529,                 0.3014,                0.54193,                0.99078,                0.99725,                      1,                  0.995,                0.66383,                0.93859,                0.94118,                0.94403,                0.60595,                 1.2456,                 1.5812,                0.13081,                0.52713,                0.99331,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1163,                0.93466,                0.29786,                0.53415,                 0.9745,                0.99778,                      1,                  0.995,                0.63255,                0.96839,                0.97059,                0.97734,                0.54421,                 1.4111,                 1.8363,                0.12104,                0.53633,                 1.0548,               0.009109,               0.009109,               0.009109
                     47,                 1.1393,                0.90406,                0.28294,                0.53858,                0.98228,                0.99698,                      1,                  0.995,                0.65884,                0.93834,                0.94118,                0.94404,                0.61144,                 1.2255,                 1.6552,                  0.121,                0.51709,                0.99637,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0866,                0.78472,                 0.2704,                0.52481,                0.98105,                0.99698,                      1,                  0.995,                0.65884,                0.93834,                0.94118,                0.94404,                0.61144,                 1.2255,                 1.6552,                  0.121,                0.51709,                0.99637,              0.0090694,              0.0090694,              0.0090694
                     49,                  1.127,                0.90995,                0.30616,                0.53832,                0.99815,                0.98967,                      1,                  0.995,                 0.6132,                0.96056,                0.97059,                0.97549,                0.58969,                 1.3821,                 1.5599,                0.10814,                0.53606,                  1.044,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0946,                0.75939,                0.30025,                 0.5112,                0.96233,                0.98586,                      1,                  0.995,                0.66289,                0.95658,                0.97059,                0.97513,                0.62273,                 1.2678,                 1.4227,                0.11359,                0.52565,                0.99254,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.1207,                 1.0063,                0.34024,                0.53089,                 1.0009,                0.96973,                0.97059,                0.97662,                0.58926,                0.93858,                0.94118,                0.93765,                0.55346,                  1.434,                 1.5916,                0.10108,                 0.5173,                 1.0508,                0.00901,                0.00901,                0.00901
                     52,                0.98879,                0.99647,                 0.2695,                0.48523,                0.94591,                0.96973,                0.97059,                0.97662,                0.58926,                0.93858,                0.94118,                0.93765,                0.55346,                  1.434,                 1.5916,                0.10108,                 0.5173,                 1.0508,              0.0089902,              0.0089902,              0.0089902
                     53,                0.99553,                0.95186,                0.26984,                0.48139,                0.94128,                0.99727,                      1,                  0.995,                0.60935,                 0.9386,                0.94118,                 0.9334,                 0.6844,                 1.2819,                 1.4257,                0.10383,                0.52259,                 1.0192,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0584,                0.91767,                0.26375,                0.49306,                0.94617,                0.99656,                      1,                  0.995,                0.64191,                0.90863,                0.91176,                0.88851,                0.57573,                  1.298,                 1.7173,                0.09614,                0.50143,                 1.0057,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.1181,                0.92435,                0.33098,                 0.5271,                0.99706,                0.99713,                      1,                  0.995,                0.69163,                0.90909,                0.91176,                0.90257,                0.68191,                 1.1434,                  1.279,                 0.0932,                0.47946,                0.97785,              0.0089308,              0.0089308,              0.0089308
                     56,                0.97497,                0.84164,                0.26715,                0.49002,                0.94473,                0.99713,                      1,                  0.995,                0.69163,                0.90909,                0.91176,                0.90257,                0.68191,                 1.1434,                  1.279,                 0.0932,                0.47946,                0.97785,               0.008911,               0.008911,               0.008911
                     57,                  1.052,                0.89212,                0.29862,                0.49369,                0.95862,                0.99595,                      1,                  0.995,                0.63595,                0.93736,                0.94118,                0.93396,                0.65121,                 1.3319,                  1.305,                0.09301,                0.50278,                  1.012,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0296,                0.73962,                 0.2993,                0.48963,                 0.9423,                0.99574,                      1,                  0.995,                0.67346,                0.96645,                0.97059,                0.97582,                0.73226,                 1.1874,                 1.0587,                0.09535,                0.51773,                0.98757,              0.0088714,              0.0088714,              0.0088714
                     59,                0.98994,                0.80257,                0.27514,                0.48464,                0.93002,                0.99682,                      1,                  0.995,                0.64007,                0.93818,                0.94118,                0.93141,                0.66761,                 1.2535,                 1.3002,                 0.0938,                0.50958,                0.99455,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0473,                0.82603,                0.29835,                0.51054,                0.95384,                0.99682,                      1,                  0.995,                0.64007,                0.93818,                0.94118,                0.93141,                0.66761,                 1.2535,                 1.3002,                 0.0938,                0.50958,                0.99455,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0679,                0.80125,                0.28832,                0.51055,                0.96384,                0.99614,                      1,                  0.995,                0.65572,                0.96684,                0.97059,                0.97489,                 0.7575,                 1.2317,                0.99647,                0.09077,                 0.5076,                  1.011,               0.008812,               0.008812,               0.008812
                     62,                0.96557,                0.78306,                0.25989,                0.47659,                0.96036,                0.99609,                      1,                  0.995,                  0.664,                0.93741,                0.94118,                0.93671,                0.72656,                 1.1837,                 1.0611,                 0.0891,                0.47896,                0.97903,              0.0087922,              0.0087922,              0.0087922
                     63,                0.93899,                0.70659,                0.26339,                0.47828,                0.93486,                0.99625,                      1,                  0.995,                0.67765,                0.93756,                0.94118,                0.94031,                0.78738,                 1.1547,                 1.0026,                0.08637,                0.48231,                0.98737,              0.0087724,              0.0087724,              0.0087724
                     64,                 0.9179,                0.71608,                0.27848,                0.47196,                0.93194,                0.99625,                      1,                  0.995,                0.67765,                0.93756,                0.94118,                0.94031,                0.78738,                 1.1547,                 1.0026,                0.08637,                0.48231,                0.98737,              0.0087526,              0.0087526,              0.0087526
                     65,                0.94723,                0.63025,                0.27951,                0.47908,                0.95559,                0.99514,                      1,                  0.995,                    0.7,                 0.9365,                0.94118,                0.93332,                0.77198,                 1.1655,                 1.0025,                0.08643,                0.48177,                0.99034,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0114,                0.73471,                0.26372,                0.48711,                0.95378,                0.99579,                      1,                  0.995,                0.68892,                 0.9665,                0.97059,                0.97682,                0.87867,                  1.149,                0.70923,                0.08657,                 0.4846,                0.98606,               0.008713,               0.008713,               0.008713
                     67,                0.99013,                 0.6873,                0.28737,                 0.4896,                0.93736,                0.99546,                      1,                  0.995,                 0.7176,                0.96607,                0.97059,                0.97661,                0.85864,                  1.108,                0.80519,                0.08535,                0.48851,                0.97958,              0.0086932,              0.0086932,              0.0086932
                     68,                0.91604,                0.71606,                0.32071,                0.46567,                 0.9437,                0.99546,                      1,                  0.995,                 0.7176,                0.96607,                0.97059,                0.97661,                0.85864,                  1.108,                0.80519,                0.08535,                0.48851,                0.97958,              0.0086734,              0.0086734,              0.0086734
                     69,                0.90914,                0.67198,                0.23544,                0.46001,                0.92255,                0.99574,                      1,                  0.995,                0.68623,                0.96645,                0.97059,                0.97826,                0.89807,                  1.154,                0.68319,                0.08264,                0.46542,                0.97958,              0.0086536,              0.0086536,              0.0086536
                     70,                0.90139,                0.68711,                0.31642,                0.45994,                0.92479,                0.99638,                      1,                  0.995,                 0.7201,                  0.967,                0.97059,                0.97971,                0.90825,                 1.1187,                0.69853,                0.08338,                 0.4682,                0.97262,              0.0086338,              0.0086338,              0.0086338
                     71,                0.92795,                0.64935,                0.32104,                0.46772,                0.95684,                0.99774,                      1,                  0.995,                 0.7256,                 0.9684,                0.97059,                 0.9787,                0.87997,                 1.1056,                0.71919,                0.08013,                0.46156,                 0.9689,               0.008614,               0.008614,               0.008614
                     72,                0.92766,                0.67456,                0.28028,                0.47215,                 0.9165,                0.99774,                      1,                  0.995,                 0.7256,                 0.9684,                0.97059,                 0.9787,                0.87997,                 1.1056,                0.71919,                0.08013,                0.46156,                 0.9689,              0.0085942,              0.0085942,              0.0085942
                     73,                0.95399,                0.70516,                0.28254,                 0.4819,                0.92845,                0.99787,                      1,                  0.995,                0.71648,                 0.9692,                0.97059,                0.98248,                0.86886,                 1.1559,                0.74612,                0.08021,                0.46885,                0.96733,              0.0085744,              0.0085744,              0.0085744
                     74,                0.91058,                0.72426,                0.28745,                0.45522,                0.92357,                0.99731,                      1,                  0.995,                0.69511,                0.96798,                0.97059,                0.97827,                0.86196,                 1.2106,                0.73716,                0.08372,                0.48995,                 1.0079,              0.0085546,              0.0085546,              0.0085546
                     75,                0.93207,                0.76268,                0.34759,                0.46701,                0.94226,                0.98936,                0.91176,                0.93633,                0.52122,                0.96639,                0.84581,                0.89986,                 0.7356,                 1.5874,                 1.1765,                0.09075,                0.68599,                 1.1298,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0167,                 0.6642,                0.25363,                 0.4817,                0.92929,                0.98936,                0.91176,                0.93633,                0.52122,                0.96639,                0.84581,                0.89986,                 0.7356,                 1.5874,                 1.1765,                0.09075,                0.68599,                 1.1298,               0.008515,               0.008515,               0.008515
                     77,                0.95239,                0.63543,                0.31986,                0.47622,                0.95324,                0.99797,                      1,                  0.995,                0.72715,                 0.9705,                0.97059,                0.98363,                0.90616,                 1.1436,                0.59574,                0.07677,                0.47629,                0.97736,              0.0084952,              0.0084952,              0.0084952
                     78,                0.93651,                0.78314,                0.28369,                0.46084,                0.94065,                0.99316,                      1,                  0.995,                0.69006,                0.96709,                0.97059,                0.98052,                0.91535,                 1.1374,                0.66687,                 0.0786,                0.46482,                0.96864,              0.0084754,              0.0084754,              0.0084754
                     79,                 0.9196,                0.53634,                0.26008,                0.45748,                0.92222,                0.81225,                0.94118,                0.94918,                0.55971,                0.96263,                0.75782,                0.91147,                  0.714,                 1.5238,                 1.5282,                0.09114,                0.85917,                  1.097,              0.0084556,              0.0084556,              0.0084556
                     80,                0.90654,                0.53528,                0.27934,                0.45185,                0.92668,                0.81225,                0.94118,                0.94918,                0.55971,                0.96263,                0.75782,                0.91147,                  0.714,                 1.5238,                 1.5282,                0.09114,                0.85917,                  1.097,              0.0084358,              0.0084358,              0.0084358
                     81,                0.85426,                0.62334,                0.23823,                  0.439,                 0.8964,                      1,                      1,                  0.995,                0.70792,                0.94118,                0.94118,                0.94974,                0.87026,                 1.1434,                0.87035,                0.07915,                0.47644,                  0.941,               0.008416,               0.008416,               0.008416
                     82,                0.88996,                0.41262,                0.25519,                  0.461,                0.90389,                0.99819,                      1,                  0.995,                  0.718,                0.94776,                0.94118,                0.95922,                0.87204,                 1.1484,                0.80907,                0.07788,                 0.4462,                0.97395,              0.0083962,              0.0083962,              0.0083962
                     83,                0.92716,                0.53227,                0.23157,                0.45783,                0.91809,                0.99805,                      1,                  0.995,                0.70123,                0.95398,                0.94118,                0.95592,                 0.9176,                 1.1066,                0.70224,                0.08035,                 0.4316,                0.94313,              0.0083764,              0.0083764,              0.0083764
                     84,                0.85078,                0.38481,                0.23787,                0.44329,                0.93259,                0.99805,                      1,                  0.995,                0.70123,                0.95398,                0.94118,                0.95592,                 0.9176,                 1.1066,                0.70224,                0.08035,                 0.4316,                0.94313,              0.0083566,              0.0083566,              0.0083566
