                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.27619,                0.41461,                0.22835,                0.81493,                0.96733,                0.97428,                0.99028,                0.98438,                0.96733,                0.97428,                0.99028,                0.92454,                0.18284,                0.41846,                0.17312,                 0.7779,               0.004951,               0.004951,               0.004951
                     53,                0.25943,                0.37775,                0.21792,                0.79981,                0.96539,                0.97973,                0.99085,                0.98506,                0.96539,                0.97973,                0.99085,                0.88981,                0.20459,                0.44734,                0.17768,                0.78058,               0.004852,               0.004852,               0.004852
                     54,                0.25122,                0.40571,                0.22811,                0.80919,                0.96147,                0.97727,                 0.9892,                0.98487,                0.96147,                0.97727,                 0.9892,                0.91659,                0.18787,                0.46899,                 0.1801,                0.77962,               0.004753,               0.004753,               0.004753
                     55,                0.26982,                  0.419,                0.24121,                0.81097,                0.96516,                0.97135,                0.98784,                0.98296,                0.96516,                0.97135,                0.98784,                0.92635,                0.17782,                0.38469,                0.18224,                0.77625,               0.004654,               0.004654,               0.004654
                     56,                0.25814,                0.39523,                0.22607,                0.81189,                0.97632,                0.97796,                0.98745,                0.98221,                0.97632,                0.97796,                0.98745,                0.92828,                0.17218,                0.37127,                0.16203,                0.77546,               0.004555,               0.004555,               0.004555
                     57,                0.25558,                0.38112,                0.20873,                0.81054,                0.96744,                0.98887,                0.98946,                0.98688,                0.96744,                0.98887,                0.98946,                0.92481,                0.17761,                0.36576,                 0.1564,                0.77455,               0.004456,               0.004456,               0.004456
                     58,                0.25007,                0.37873,                0.21078,                 0.8048,                0.97931,                0.97844,                0.98401,                0.98017,                0.97931,                0.97844,                0.98401,                0.92324,                0.17139,                0.36548,                0.16244,                0.77525,               0.004357,               0.004357,               0.004357
                     59,                0.25197,                0.38577,                0.21693,                 0.8173,                0.97803,                0.97532,                 0.9871,                0.97834,                0.97803,                0.97532,                 0.9871,                0.90768,                0.21544,                0.39751,                0.18451,                0.78092,               0.004258,               0.004258,               0.004258
                     60,                0.27099,                0.40183,                0.23142,                0.81873,                0.97451,                0.98726,                0.98831,                0.98474,                0.97451,                0.98726,                0.98831,                0.93102,                0.17419,                0.33932,                0.15367,                0.77397,               0.004159,               0.004159,               0.004159
                     61,                0.26095,                0.38851,                0.23186,                0.80977,                 0.9782,                0.98647,                0.99352,                0.98999,                 0.9782,                0.98647,                0.99352,                0.92083,                0.18285,                0.34214,                0.14851,                0.77417,                0.00406,                0.00406,                0.00406
