                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.35321,                0.15465,                0.25974,                 0.1634,                0.83951,                0.76764,                      1,                0.84839,                 0.7858,                0.76764,                      1,                0.84839,                0.84839,                0.35434,                0.08149,                0.14625,                0.58685,                0.81945,             0.00089308,             0.00089308,             0.00089308
                     56,                0.41278,                0.18876,                0.26555,                0.18757,                0.86043,                0.76762,                      1,                0.85098,                0.78134,                0.76762,                      1,                0.85098,                0.85098,                0.36025,                0.08838,                0.14377,                0.58303,                0.82125,              0.0008911,              0.0008911,              0.0008911
                     57,                0.37975,                0.15064,                0.26225,                0.18553,                 0.8502,                0.76765,                      1,                0.85098,                0.78584,                0.76765,                      1,                0.85098,                0.85098,                 0.3557,                0.07878,                 0.1393,                0.57945,                0.81943,             0.00088912,             0.00088912,             0.00088912
                     58,                0.34242,                0.11476,                0.20466,                0.16394,                 0.8247,                0.76761,                      1,                0.85654,                0.80202,                0.76761,                      1,                0.85654,                0.85654,                0.35314,                0.07598,                0.13557,                0.57017,                0.81641,             0.00088714,             0.00088714,             0.00088714
                     59,                0.36537,                0.11206,                 0.1976,                0.18518,                0.84103,                0.76778,                      1,                0.86057,                0.81013,                0.76778,                      1,                0.86057,                0.86057,                0.33896,                0.07328,                0.12998,                 0.5582,                0.81442,             0.00088516,             0.00088516,             0.00088516
                     60,                0.37484,                0.13718,                0.23416,                0.17434,                0.85043,                0.76765,                      1,                0.84029,                0.78999,                0.76765,                      1,                0.84029,                0.84029,                0.33875,                0.07187,                0.12721,                0.57013,                 0.8143,             0.00088318,             0.00088318,             0.00088318
                     61,                0.38632,                0.15446,                 0.2259,                0.17723,                0.83505,                0.76762,                      1,                0.81246,                0.76168,                0.76762,                      1,                0.81246,                0.81246,                0.34867,                0.07039,                0.12509,                0.57964,                0.81591,              0.0008812,              0.0008812,              0.0008812
                     62,                0.36166,                0.14469,                0.18364,                0.17151,                0.83803,                0.76763,                      1,                0.82192,                0.76676,                0.76763,                      1,                0.82192,                0.82192,                0.35676,                0.06896,                0.12254,                0.58615,                0.81754,             0.00087922,             0.00087922,             0.00087922
                     63,                0.34736,                0.13264,                0.19148,                0.17813,                0.82402,                0.76762,                      1,                0.81975,                0.76068,                0.76762,                      1,                0.81975,                0.81975,                0.36164,                0.06695,                0.11795,                0.58543,                0.82029,             0.00087724,             0.00087724,             0.00087724
                     64,                0.38553,                0.15031,                0.19401,                0.19601,                0.83942,                0.76779,                      1,                0.83794,                0.78621,                0.76779,                      1,                0.83794,                0.83794,                0.34429,                0.06509,                 0.1145,                0.58609,                0.81698,             0.00087526,             0.00087526,             0.00087526
                     65,                0.33738,                0.12891,                0.15112,                0.15838,                0.82405,                0.76791,                      1,                0.83667,                0.79511,                0.76791,                      1,                0.83667,                0.83667,                0.33293,                0.06395,                0.11133,                0.57054,                0.81242,             0.00087328,             0.00087328,             0.00087328
                     66,                 0.4066,                0.15469,                0.22672,                  0.198,                0.85771,                0.76799,                      1,                0.83167,                0.79615,                0.76799,                      1,                0.83167,                0.83167,                0.32801,                0.06305,                 0.1087,                0.57428,                0.81137,              0.0008713,              0.0008713,              0.0008713
                     67,                0.35836,                0.13111,                0.19687,                0.16866,                0.83579,                0.76803,                      1,                 0.8525,                0.82239,                0.76803,                      1,                 0.8525,                 0.8525,                0.33171,                0.06467,                0.10445,                0.58403,                0.81289,             0.00086932,             0.00086932,             0.00086932
                     68,                0.43597,                0.11682,                0.20988,                0.20549,                0.86796,                0.76814,                      1,                0.85114,                0.81137,                0.76814,                      1,                0.85114,                0.85114,                0.34675,                0.06555,                0.10242,                0.59128,                0.81716,             0.00086734,             0.00086734,             0.00086734
                     69,                0.36818,                0.10345,                 0.1637,                0.20089,                0.85311,                0.76814,                      1,                0.85333,                0.79607,                0.76814,                      1,                0.85333,                0.85333,                0.37175,                0.06743,                0.10086,                0.59286,                0.83077,             0.00086536,             0.00086536,             0.00086536
